id,target,prediction,prediction_std,prediction_0,stable_prediction
mp-555583,0.0000,2.0921,0.0000,2.0921,1
mp-1188133,0.0000,-0.5441,0.0000,-0.5441,1
mp-936075,0.0000,0.8506,0.0000,0.8506,1
mp-7564,0.0000,0.7266,0.0000,0.7266,1
mp-685031,0.0000,0.7540,0.0000,0.7540,1
mp-1217166,0.0000,-0.1601,0.0000,-0.1601,1
mp-600216,0.0000,0.7610,0.0000,0.7610,1
mp-1217665,0.0000,1.4157,0.0000,1.4157,1
mp-2076,0.0000,1.6433,0.0000,1.6433,1
mp-1217192,0.0000,-0.3107,0.0000,-0.3107,1
mp-669509,0.0000,1.2174,0.0000,1.2174,1
mp-1245121,0.0000,1.7268,0.0000,1.7268,1
mp-16328,0.0000,1.5020,0.0000,1.5020,1
mp-568865,0.0000,1.8756,0.0000,1.8756,1
mp-571270,0.0000,-0.4790,0.0000,-0.4790,1
mp-16479,0.0000,1.2631,0.0000,1.2631,1
mp-1077033,0.0000,0.2142,0.0000,0.2142,1
mp-1078508,0.0000,1.2479,0.0000,1.2479,1
mp-1217443,0.0000,-1.4855,0.0000,-1.4855,1
mp-561196,0.0000,2.0916,0.0000,2.0916,1
mp-406,0.0000,0.1428,0.0000,0.1428,1
mp-1018150,0.0000,-0.0147,0.0000,-0.0147,1
mp-975653,0.0000,0.9675,0.0000,0.9675,1
mp-862869,0.0000,1.3418,0.0000,1.3418,1
mp-1779,0.0000,-0.3103,0.0000,-0.3103,1
mp-1186638,0.0000,0.2764,0.0000,0.2764,1
mp-11447,0.0000,-1.1802,0.0000,-1.1802,1
mp-1213754,0.0000,0.4512,0.0000,0.4512,1
mp-985831,0.0000,1.6828,0.0000,1.6828,1
mp-2648,0.0000,0.8679,0.0000,0.8679,1
mp-555293,0.0000,0.8655,0.0000,0.8655,1
mp-849071,0.0000,0.2419,0.0000,0.2419,1
mp-32933,0.0000,1.3076,0.0000,1.3076,1
mp-1848,0.0000,1.3025,0.0000,1.3025,1
mp-7834,0.0000,-0.0660,0.0000,-0.0660,1
mp-542495,0.0000,0.2589,0.0000,0.2589,1
mp-1183005,0.0000,1.4174,0.0000,1.4174,1
mp-1080629,0.0000,1.5597,0.0000,1.5597,1
mp-740,0.0000,0.0672,0.0000,0.0672,1
mp-849053,0.0000,0.4977,0.0000,0.4977,1
mp-581476,0.0000,2.0343,0.0000,2.0343,1
mp-581258,0.0000,2.0351,0.0000,2.0351,1
mp-555381,0.0000,2.0912,0.0000,2.0912,1
mp-541180,0.0000,0.3257,0.0000,0.3257,1
mp-1098703,0.0000,1.3436,0.0000,1.3436,1
mp-673255,0.0000,0.3383,0.0000,0.3383,1
mp-1229041,0.0000,-0.4340,0.0000,-0.4340,1
mp-1080265,0.0000,1.3589,0.0000,1.3589,1
mp-1008926,0.0000,0.0678,0.0000,0.0678,1
mp-1080292,0.0000,1.6097,0.0000,1.6097,1
mp-978093,0.0000,1.6991,0.0000,1.6991,1
mp-850068,0.0000,0.6246,0.0000,0.6246,1
mp-1095694,0.0000,-0.4454,0.0000,-0.4454,1
mp-567724,0.0000,0.2000,0.0000,0.2000,1
mp-29957,0.0000,1.6864,0.0000,1.6864,1
mp-1072192,0.0000,-1.4331,0.0000,-1.4331,1
mp-1080852,0.0000,1.6007,0.0000,1.6007,1
mp-1907,0.0000,-0.1454,0.0000,-0.1454,1
mp-976920,0.0000,0.1888,0.0000,0.1888,1
mp-556392,0.0000,2.0918,0.0000,2.0918,1
mp-1232349,0.0000,0.6254,0.0000,0.6254,1
mp-1080272,0.0000,1.5194,0.0000,1.5194,1
mp-1183249,0.0000,-0.2998,0.0000,-0.2998,1
mp-1172860,0.0000,-0.5642,0.0000,-0.5642,1
mp-20862,0.0000,0.0882,0.0000,0.0882,1
mp-1206986,0.0000,1.7484,0.0000,1.7484,1
mp-1185988,0.0000,-3.3446,0.0000,-3.3446,1
mp-1080793,0.0000,-0.3356,0.0000,-0.3356,1
mp-28223,0.0000,1.2493,0.0000,1.2493,1
mp-2495,0.0000,1.7415,0.0000,1.7415,1
mp-647075,0.0000,2.0380,0.0000,2.0380,1
mp-29639,0.0000,-2.7238,0.0000,-2.7238,1
mp-2469,0.0000,0.9535,0.0000,0.9535,1
mp-1245280,0.0000,1.6156,0.0000,1.6156,1
mp-1018751,0.0000,1.6632,0.0000,1.6632,1
mp-1098705,0.0000,1.8521,0.0000,1.8521,1
mp-947,0.0000,1.0627,0.0000,1.0627,1
mp-11584,0.0000,7.3370,0.0000,7.3370,1
mp-1105049,0.0000,-0.2612,0.0000,-0.2612,1
mp-1066480,0.0000,0.3039,0.0000,0.3039,1
mp-1028441,0.0000,1.5147,0.0000,1.5147,1
mp-582060,0.0000,0.4837,0.0000,0.4837,1
mp-1080373,0.0000,1.2681,0.0000,1.2681,1
mp-1627,0.0000,0.2035,0.0000,0.2035,1
mp-1080298,0.0000,1.3395,0.0000,1.3395,1
mp-1217121,0.0000,-0.0657,0.0000,-0.0657,1
mp-1545240,0.0000,1.5378,0.0000,1.5378,1
mp-1023937,0.0000,1.5024,0.0000,1.5024,1
mp-1209834,0.0000,1.1189,0.0000,1.1189,1
mp-850086,0.0000,0.2223,0.0000,0.2223,1
mp-1213756,0.0000,0.2570,0.0000,0.2570,1
mp-7819,0.0000,-1.3233,0.0000,-1.3233,1
mp-656,0.0000,1.4884,0.0000,1.4884,1
mp-1184373,0.0000,1.1532,0.0000,1.1532,1
mp-16228,0.0000,1.5957,0.0000,1.5957,1
mp-1104504,0.0000,0.1893,0.0000,0.1893,1
mp-21688,0.0000,0.3656,0.0000,0.3656,1
mp-974469,0.0000,-0.6427,0.0000,-0.6427,1
mp-1080348,0.0000,0.4262,0.0000,0.4262,1
mp-1018028,0.0000,0.8657,0.0000,0.8657,1
mp-1023942,0.0000,0.2682,0.0000,0.2682,1
mp-1080305,0.0000,0.9118,0.0000,0.9118,1
mp-1189318,0.0000,0.6275,0.0000,0.6275,1
mp-684963,0.0000,-0.1804,0.0000,-0.1804,1
mp-1220109,0.0000,-0.0353,0.0000,-0.0353,1
mp-13685,0.0000,0.1748,0.0000,0.1748,1
mp-1080641,0.0000,1.5083,0.0000,1.5083,1
mp-12117,0.0000,1.7109,0.0000,1.7109,1
mp-10027,0.0000,-0.6684,0.0000,-0.6684,1
mp-554055,0.0000,1.1329,0.0000,1.1329,1
mp-1215543,0.0000,2.1699,0.0000,2.1699,1
mp-1978391,0.0000,0.7847,0.0000,0.7847,1
mp-1023926,0.0000,0.2597,0.0000,0.2597,1
mp-1080312,0.0000,0.6412,0.0000,0.6412,1
mp-1245068,0.0000,1.4203,0.0000,1.4203,1
mp-1071269,0.0000,0.7753,0.0000,0.7753,1
mp-1080371,0.0000,1.6031,0.0000,1.6031,1
mp-555628,0.0000,2.0927,0.0000,2.0927,1
mp-21410,0.0000,0.5470,0.0000,0.5470,1
mp-984597,0.0000,0.4806,0.0000,0.4806,1
mp-1068,0.0000,0.5035,0.0000,0.5035,1
mp-1080635,0.0000,1.3529,0.0000,1.3529,1
mp-1065583,0.0000,0.6990,0.0000,0.6990,1
mp-652044,0.0000,1.1127,0.0000,1.1127,1
mp-1217429,0.0000,-1.0324,0.0000,-1.0324,1
mp-1095493,0.0000,1.4472,0.0000,1.4472,1
mp-637631,0.0000,1.1612,0.0000,1.1612,1
mp-2849,0.0000,0.8569,0.0000,0.8569,1
mp-1080306,0.0000,1.0942,0.0000,1.0942,1
mp-1383615,0.0000,1.7284,0.0000,1.7284,1
mp-1216778,0.0000,-0.0634,0.0000,-0.0634,1
mp-1245034,0.0000,1.6849,0.0000,1.6849,1
mp-491,0.0000,0.9745,0.0000,0.9745,1
mp-1028586,0.0000,0.2587,0.0000,0.2587,1
mp-554829,0.0000,2.0909,0.0000,2.0909,1
mp-2282,0.0000,1.6356,0.0000,1.6356,1
mp-1244989,0.0000,1.5751,0.0000,1.5751,1
mp-1099574,0.0000,1.6207,0.0000,1.6207,1
mp-1523643,0.0000,-0.2937,0.0000,-0.2937,1
mp-1205321,0.0000,0.5155,0.0000,0.5155,1
mp-12779,0.0000,0.1306,0.0000,0.1306,1
mp-510285,0.0000,-1.4268,0.0000,-1.4268,1
mp-1173507,0.0000,-0.2527,0.0000,-0.2527,1
mp-782,0.0000,-0.2328,0.0000,-0.2328,1
mp-10648,0.0000,0.7649,0.0000,0.7649,1
mp-1205297,0.0000,0.8355,0.0000,0.8355,1
mp-1080355,0.0000,1.5789,0.0000,1.5789,1
mp-1105026,0.0000,1.4044,0.0000,1.4044,1
mp-1021511,0.0000,0.8723,0.0000,0.8723,1
mp-2018369,0.0000,1.0644,0.0000,1.0644,1
mp-1223103,0.0000,1.9357,0.0000,1.9357,1
mp-556853,0.0000,-2.3301,0.0000,-2.3301,1
mp-982385,0.0000,1.0884,0.0000,1.0884,1
mp-976809,0.0000,-1.3041,0.0000,-1.3041,1
mp-1226456,0.0000,0.3306,0.0000,0.3306,1
mp-820,0.0000,0.9431,0.0000,0.9431,1
mp-568488,0.0000,0.3497,0.0000,0.3497,1
mp-20901,0.0000,0.8132,0.0000,0.8132,1
mp-567525,0.0000,0.8523,0.0000,0.8523,1
mp-574283,0.0000,-1.4943,0.0000,-1.4943,1
mp-685047,0.0000,-0.9480,0.0000,-0.9480,1
mp-1184509,0.0000,-1.3031,0.0000,-1.3031,1
mp-1184307,0.0000,1.1920,0.0000,1.1920,1
mp-556435,0.0000,0.3063,0.0000,0.3063,1
mp-32594,0.0000,0.7041,0.0000,0.7041,1
mp-615366,0.0000,0.4845,0.0000,0.4845,1
mp-1080310,0.0000,0.6980,0.0000,0.6980,1
mp-1217358,0.0000,0.3411,0.0000,0.3411,1
mp-9983,0.0000,0.6247,0.0000,0.6247,1
mp-1382,0.0000,1.6275,0.0000,1.6275,1
mp-1101145,0.0000,-1.0688,0.0000,-1.0688,1
mp-1019253,0.0000,1.0542,0.0000,1.0542,1
mp-655446,0.0000,0.8885,0.0000,0.8885,1
mp-1546645,0.0000,0.7939,0.0000,0.7939,1
mp-1320,0.0000,1.1512,0.0000,1.1512,1
mp-1120762,0.0000,1.6016,0.0000,1.6016,1
mp-562100,0.0000,0.3592,0.0000,0.3592,1
mp-7131,0.0000,0.0798,0.0000,0.0798,1
mp-10656,0.0000,-0.7287,0.0000,-0.7287,1
mp-556989,0.0000,2.0906,0.0000,2.0906,1
mp-1245222,0.0000,1.5880,0.0000,1.5880,1
mp-1018665,0.0000,1.1183,0.0000,1.1183,1
mp-1008999,0.0000,1.3905,0.0000,1.3905,1
mp-2901401,0.0000,0.9940,0.0000,0.9940,1
mp-29131,0.0000,-0.5530,0.0000,-0.5530,1
mp-1224444,0.0000,1.2617,0.0000,1.2617,1
mp-7368,0.0000,1.2367,0.0000,1.2367,1
mp-554074,0.0000,1.0410,0.0000,1.0410,1
mp-1376600,0.0000,0.2257,0.0000,0.2257,1
mp-1207193,0.0000,0.4149,0.0000,0.4149,1
mp-1216446,0.0000,-1.3509,0.0000,-1.3509,1
mp-20826,0.0000,0.6485,0.0000,0.6485,1
mp-639,0.0000,0.4855,0.0000,0.4855,1
mp-1189032,0.0000,0.9430,0.0000,0.9430,1
mp-1019091,0.0000,1.0396,0.0000,1.0396,1
mp-1080369,0.0000,1.5088,0.0000,1.5088,1
mp-571547,0.0000,0.9228,0.0000,0.9228,1
mp-1072086,0.0000,1.8014,0.0000,1.8014,1
mp-1206966,0.0000,1.6026,0.0000,1.6026,1
mp-21765,0.0000,0.1771,0.0000,0.1771,1
mp-1190042,0.0000,0.6069,0.0000,0.6069,1
mp-1411545,0.0000,0.2422,0.0000,0.2422,1
mp-2761342,0.0000,0.5567,0.0000,0.5567,1
mp-1079443,0.0000,-1.3799,0.0000,-1.3799,1
mp-1444174,0.0000,0.4312,0.0000,0.4312,1
mp-11800,0.0000,0.2395,0.0000,0.2395,1
mp-1220654,0.0000,1.2916,0.0000,1.2916,1
mp-21165,0.0000,0.4660,0.0000,0.4660,1
mp-1018809,0.0000,1.2468,0.0000,1.2468,1
mp-1393712,0.0000,1.0147,0.0000,1.0147,1
mp-1198139,0.0000,2.0278,0.0000,2.0278,1
mp-1202023,0.0000,2.0414,0.0000,2.0414,1
mp-1560,0.0000,-0.9788,0.0000,-0.9788,1
mp-1104212,0.0000,-0.4646,0.0000,-0.4646,1
mp-237,0.0000,-0.9239,0.0000,-0.9239,1
mp-554820,0.0000,2.0901,0.0000,2.0901,1
mp-1186355,0.0000,0.4938,0.0000,0.4938,1
mp-849086,0.0000,0.3995,0.0000,0.3995,1
mp-684690,0.0000,0.8101,0.0000,0.8101,1
mp-2280,0.0000,-0.3878,0.0000,-0.3878,1
mp-16366,0.0000,0.0626,0.0000,0.0626,1
mp-684749,0.0000,2.0525,0.0000,2.0525,1
mp-1341046,0.0000,0.0805,0.0000,0.0805,1
mp-1023938,0.0000,0.0355,0.0000,0.0355,1
mp-1080634,0.0000,1.5520,0.0000,1.5520,1
mp-555782,0.0000,2.0920,0.0000,2.0920,1
mp-1013525,0.0000,0.2150,0.0000,0.2150,1
mp-1080353,0.0000,0.9231,0.0000,0.9231,1
mp-556000,0.0000,2.0916,0.0000,2.0916,1
mp-32672,0.0000,0.8495,0.0000,0.8495,1
mp-1018817,0.0000,0.9547,0.0000,0.9547,1
mp-639690,0.0000,1.0858,0.0000,1.0858,1
mp-1690,0.0000,1.5244,0.0000,1.5244,1
mp-1080300,0.0000,1.6307,0.0000,1.6307,1
mp-1189525,0.0000,0.8865,0.0000,0.8865,1
mp-505531,0.0000,0.1853,0.0000,0.1853,1
mp-556155,0.0000,2.0919,0.0000,2.0919,1
mp-1188185,0.0000,0.3477,0.0000,0.3477,1
mp-2037445,0.0000,0.2982,0.0000,0.2982,1
mp-1077948,0.0000,0.7828,0.0000,0.7828,1
mp-569322,0.0000,1.1193,0.0000,1.1193,1
mp-554681,0.0000,2.0914,0.0000,2.0914,1
mp-1202035,0.0000,-0.0426,0.0000,-0.0426,1
mp-1202959,0.0000,2.0277,0.0000,2.0277,1
mp-530036,0.0000,0.8316,0.0000,0.8316,1
mp-1187074,0.0000,5.2953,0.0000,5.2953,1
mp-945077,0.0000,1.5875,0.0000,1.5875,1
mp-20520,0.0000,-0.6844,0.0000,-0.6844,1
mp-1096431,0.0000,1.5833,0.0000,1.5833,1
mp-865558,0.0000,0.5413,0.0000,0.5413,1
mp-1184315,0.0000,-1.0246,0.0000,-1.0246,1
mp-1215280,0.0000,1.0164,0.0000,1.0164,1
mp-556363,0.0000,2.0916,0.0000,2.0916,1
mp-32850,0.0000,0.6567,0.0000,0.6567,1
mp-966,0.0000,1.2692,0.0000,1.2692,1
mp-685007,0.0000,0.1274,0.0000,0.1274,1
mp-1080853,0.0000,1.2954,0.0000,1.2954,1
mp-1018075,0.0000,2.0734,0.0000,2.0734,1
mp-571512,0.0000,0.1549,0.0000,0.1549,1
mp-1025537,0.0000,-0.5758,0.0000,-0.5758,1
mp-1080260,0.0000,2.1670,0.0000,2.1670,1
mp-1173644,0.0000,0.9100,0.0000,0.9100,1
mp-1245238,0.0000,1.8130,0.0000,1.8130,1
mp-850411,0.0000,0.3452,0.0000,0.3452,1
mp-684525,0.0000,-0.0778,0.0000,-0.0778,1
mp-1102510,0.0000,1.0822,0.0000,1.0822,1
mp-863259,0.0000,0.9672,0.0000,0.9672,1
mp-2563,0.0000,1.0739,0.0000,1.0739,1
mp-555664,0.0000,2.0904,0.0000,2.0904,1
mp-1404610,0.0000,0.5348,0.0000,0.5348,1
mp-3217104,0.0000,0.8712,0.0000,0.8712,1
mp-1080857,0.0000,1.4815,0.0000,1.4815,1
mp-642890,0.0000,0.6974,0.0000,0.6974,1
mp-1077978,0.0000,0.3948,0.0000,0.3948,1
mp-2022604,0.0000,0.1490,0.0000,0.1490,1
mp-1028,0.0000,-1.2075,0.0000,-1.2075,1
mp-650328,0.0000,-0.1324,0.0000,-0.1324,1
mp-1232230,0.0000,0.0786,0.0000,0.0786,1
mp-540922,0.0000,0.2419,0.0000,0.2419,1
mp-9323,0.0000,0.7856,0.0000,0.7856,1
mp-7581,0.0000,0.3462,0.0000,0.3462,1
mp-1197413,0.0000,0.2397,0.0000,0.2397,1
mp-1245070,0.0000,1.7209,0.0000,1.7209,1
mp-1103820,0.0000,1.4551,0.0000,1.4551,1
mp-1080354,0.0000,1.3451,0.0000,1.3451,1
mp-558378,0.0000,-0.2778,0.0000,-0.2778,1
mp-556950,0.0000,2.0922,0.0000,2.0922,1
mp-568998,0.0000,0.4129,0.0000,0.4129,1
mp-948,0.0000,0.0503,0.0000,0.0503,1
mp-542583,0.0000,-0.1027,0.0000,-0.1027,1
mp-1925,0.0000,1.7418,0.0000,1.7418,1
mp-22309,0.0000,0.0720,0.0000,0.0720,1
mp-32586,0.0000,0.8961,0.0000,0.8961,1
mp-1188175,0.0000,1.1861,0.0000,1.1861,1
mp-673645,0.0000,0.3265,0.0000,0.3265,1
mp-1080637,0.0000,1.4914,0.0000,1.4914,1
mp-1861,0.0000,0.5799,0.0000,0.5799,1
mp-1193944,0.0000,1.1827,0.0000,1.1827,1
mp-554405,0.0000,2.0923,0.0000,2.0923,1
mp-19736,0.0000,0.4355,0.0000,0.4355,1
mp-2142,0.0000,1.2122,0.0000,1.2122,1
mp-1218055,0.0000,1.6537,0.0000,1.6537,1
mp-22231,0.0000,-0.1528,0.0000,-0.1528,1
mp-1080640,0.0000,1.0312,0.0000,1.0312,1
mp-9252,0.0000,1.2173,0.0000,1.2173,1
mp-1061769,0.0000,-0.0310,0.0000,-0.0310,1
mp-554503,0.0000,2.0905,0.0000,2.0905,1
mp-568593,0.0000,-1.5401,0.0000,-1.5401,1
mp-558544,0.0000,1.0337,0.0000,1.0337,1
mp-919,0.0000,-0.4612,0.0000,-0.4612,1
mp-1084851,0.0000,1.5159,0.0000,1.5159,1
mp-2392,0.0000,0.9861,0.0000,0.9861,1
mp-523,0.0000,0.3197,0.0000,0.3197,1
mp-571400,0.0000,0.9224,0.0000,0.9224,1
mp-2047939,0.0000,0.2889,0.0000,0.2889,1
mp-1101086,0.0000,1.1115,0.0000,1.1115,1
mp-3216704,0.0000,0.3694,0.0000,0.3694,1
mp-1087550,0.0000,1.5745,0.0000,1.5745,1
mp-1009222,0.0000,-1.6960,0.0000,-1.6960,1
mp-570122,0.0000,0.4275,0.0000,0.4275,1
mp-1215359,0.0000,1.4427,0.0000,1.4427,1
mp-2204,0.0000,0.3810,0.0000,0.3810,1
mp-2156,0.0000,-0.0362,0.0000,-0.0362,1
mp-2026078,0.0000,-1.6411,0.0000,-1.6411,1
mp-608146,0.0000,1.1955,0.0000,1.1955,1
mp-849080,0.0000,0.9351,0.0000,0.9351,1
mp-1748,0.0000,1.3961,0.0000,1.3961,1
mp-1080250,0.0000,1.1951,0.0000,1.1951,1
mp-560908,0.0000,-0.6403,0.0000,-0.6403,1
mp-684691,0.0000,0.5698,0.0000,0.5698,1
mp-680343,0.0000,1.0401,0.0000,1.0401,1
mp-1018683,0.0000,1.0352,0.0000,1.0352,1
mp-9922,0.0000,1.0237,0.0000,1.0237,1
mp-1062030,0.0000,-0.0402,0.0000,-0.0402,1
mp-957,0.0000,0.1482,0.0000,0.1482,1
mp-8357,0.0000,0.1672,0.0000,0.1672,1
mp-572758,0.0000,0.7433,0.0000,0.7433,1
mp-1189023,0.0000,0.2657,0.0000,0.2657,1
mp-1021499,0.0000,0.2770,0.0000,0.2770,1
mp-1071319,0.0000,0.8512,0.0000,0.8512,1
mp-684844,0.0000,-0.3239,0.0000,-0.3239,1
mp-569240,0.0000,-0.3961,0.0000,-0.3961,1
mp-1072474,0.0000,1.1117,0.0000,1.1117,1
mp-569679,0.0000,0.5174,0.0000,0.5174,1
mp-2038,0.0000,1.5081,0.0000,1.5081,1
mp-1102515,0.0000,1.2446,0.0000,1.2446,1
mp-2056,0.0000,0.5584,0.0000,0.5584,1
mp-564,0.0000,-1.6277,0.0000,-1.6277,1
mp-743270,0.0000,0.3594,0.0000,0.3594,1
mp-557026,0.0000,2.0924,0.0000,2.0924,1
mp-9399,0.0000,-0.3099,0.0000,-0.3099,1
mp-1104577,0.0000,0.3953,0.0000,0.3953,1
mp-1187302,0.0000,0.2797,0.0000,0.2797,1
mp-20036,0.0000,1.3542,0.0000,1.3542,1
mp-1146,0.0000,1.3859,0.0000,1.3859,1
mp-1081,0.0000,-0.1258,0.0000,-0.1258,1
mp-1217469,0.0000,-1.3196,0.0000,-1.3196,1
mp-570751,0.0000,0.0890,0.0000,0.0890,1
mp-638586,0.0000,-3.2694,0.0000,-3.2694,1
mp-1508,0.0000,1.5804,0.0000,1.5804,1
mp-542794,0.0000,0.3299,0.0000,0.3299,1
mp-1080337,0.0000,1.1007,0.0000,1.1007,1
mp-1080867,0.0000,1.4539,0.0000,1.4539,1
mp-1239183,0.0000,0.8349,0.0000,0.8349,1
mp-1080325,0.0000,1.1217,0.0000,1.1217,1
mp-554004,0.0000,2.0918,0.0000,2.0918,1
mp-570181,0.0000,0.9314,0.0000,0.9314,1
mp-1080347,0.0000,1.1594,0.0000,1.1594,1
mp-1018675,0.0000,0.7172,0.0000,0.7172,1
mp-1238797,0.0000,0.6608,0.0000,0.6608,1
mp-1220037,0.0000,1.7102,0.0000,1.7102,1
mp-1319,0.0000,2.0803,0.0000,2.0803,1
mp-1030319,0.0000,0.0325,0.0000,0.0325,1
mp-1196782,0.0000,2.0430,0.0000,2.0430,1
mp-694,0.0000,-2.3594,0.0000,-2.3594,1
mp-29767,0.0000,0.3590,0.0000,0.3590,1
mp-362,0.0000,0.2202,0.0000,0.2202,1
mp-680087,0.0000,2.0409,0.0000,2.0409,1
mp-1217439,0.0000,0.9116,0.0000,0.9116,1
mp-1106367,0.0000,0.5420,0.0000,0.5420,1
mp-1080335,0.0000,1.4322,0.0000,1.4322,1
mp-2826,0.0000,1.7977,0.0000,1.7977,1
mp-1245054,0.0000,1.5731,0.0000,1.5731,1
mp-754,0.0000,1.0573,0.0000,1.0573,1
mp-1080296,0.0000,1.3445,0.0000,1.3445,1
mp-8601,0.0000,0.0072,0.0000,0.0072,1
mp-1206743,0.0000,1.8455,0.0000,1.8455,1
mp-1245310,0.0000,1.5622,0.0000,1.5622,1
mp-541441,0.0000,-0.0300,0.0000,-0.0300,1
mp-1405065,0.0000,0.3104,0.0000,0.3104,1
mp-788,0.0000,-0.3394,0.0000,-0.3394,1
mp-680260,0.0000,-1.4259,0.0000,-1.4259,1
mp-1201781,0.0000,2.0428,0.0000,2.0428,1
mp-1208306,0.0000,1.5855,0.0000,1.5855,1
mp-594,0.0000,0.0844,0.0000,0.0844,1
mp-12087,0.0000,0.5884,0.0000,0.5884,1
mp-20163,0.0000,1.1363,0.0000,1.1363,1
mp-10695,0.0000,2.0895,0.0000,2.0895,1
mp-1080288,0.0000,1.4315,0.0000,1.4315,1
mp-555858,0.0000,2.0277,0.0000,2.0277,1
mp-2815,0.0000,1.0131,0.0000,1.0131,1
mp-1018728,0.0000,1.0074,0.0000,1.0074,1
mp-1311,0.0000,0.2311,0.0000,0.2311,1
mp-8866,0.0000,1.1011,0.0000,1.1011,1
mp-1080301,0.0000,1.2539,0.0000,1.2539,1
mp-1102845,0.0000,0.7411,0.0000,0.7411,1
mp-1101148,0.0000,-1.0409,0.0000,-1.0409,1
mp-1186463,0.0000,0.8828,0.0000,0.8828,1
mp-1444811,0.0000,0.2253,0.0000,0.2253,1
mp-1021484,0.0000,0.4114,0.0000,0.4114,1
mp-571576,0.0000,0.0756,0.0000,0.0756,1
mp-1232184,0.0000,0.4739,0.0000,0.4739,1
mp-1247858,0.0000,3.4270,0.0000,3.4270,1
mp-1403,0.0000,1.4293,0.0000,1.4293,1
mp-1103235,0.0000,0.6048,0.0000,0.6048,1
mp-1183728,0.0000,-0.0422,0.0000,-0.0422,1
mp-32838,0.0000,-0.6831,0.0000,-0.6831,1
mp-1080375,0.0000,1.5888,0.0000,1.5888,1
mp-1492,0.0000,0.6975,0.0000,0.6975,1
mp-862863,0.0000,0.2025,0.0000,0.2025,1
mp-556207,0.0000,2.0926,0.0000,2.0926,1
mp-1080366,0.0000,1.2757,0.0000,1.2757,1
mp-1080273,0.0000,1.4127,0.0000,1.4127,1
mp-554630,0.0000,2.0910,0.0000,2.0910,1
mp-952967,0.0000,0.5970,0.0000,0.5970,1
mp-1226086,0.0000,0.3437,0.0000,0.3437,1
mp-568251,0.0000,0.2130,0.0000,0.2130,1
mp-1220218,0.0000,1.7031,0.0000,1.7031,1
mp-2070,0.0000,0.7681,0.0000,0.7681,1
mp-2086,0.0000,0.8231,0.0000,0.8231,1
mp-1226578,0.0000,0.1322,0.0000,0.1322,1
mp-1181732,0.0000,0.3983,0.0000,0.3983,1
mp-14650,0.0000,0.8870,0.0000,0.8870,1
mp-560025,0.0000,0.7447,0.0000,0.7447,1
mp-900,0.0000,0.3209,0.0000,0.3209,1
mp-1183651,0.0000,0.5772,0.0000,0.5772,1
mp-1080332,0.0000,1.4268,0.0000,1.4268,1
mp-21991,0.0000,0.2643,0.0000,0.2643,1
mp-1245136,0.0000,1.7094,0.0000,1.7094,1
mp-541594,0.0000,0.4401,0.0000,0.4401,1
mp-267,0.0000,1.1466,0.0000,1.1466,1
mp-1225796,0.0000,0.1449,0.0000,0.1449,1
mp-1008676,0.0000,-2.6695,0.0000,-2.6695,1
mp-1207735,0.0000,7.1323,0.0000,7.1323,1
mp-32642,0.0000,1.2277,0.0000,1.2277,1
mp-1193776,0.0000,-1.5817,0.0000,-1.5817,1
